Alpha,SNP_A,SNP_B,SNP_C
0.502225,N25,N33,N37
0.502225,N16,N22,N39
0.502225,N11,N21,M2Q2
0.502225,N10,N25,N27
0.502224,N9,N16,N29
0.502224,N7,N8,N17
0.502224,N5,N22,N24
0.502224,N4,M2Q2,M2Q4
0.502224,N3,N5,N15
0.502224,N25,N29,N30
0.502224,N19,N24,N28
0.502224,N19,N22,M2Q2
0.502224,N19,M2Q1,M2Q3
0.502224,N16,N29,M1T1
0.502224,N16,N17,N28
0.502224,N15,N37,M1T2
0.502224,N13,N35,M0P2
0.502224,N12,N15,M1T2
0.502224,N10,N23,M0P1
0.502224,N10,N11,N19
0.502223,N16,N30,N37
0.502223,N13,M0P2,M1T1
0.502222,N8,N15,N24
0.502222,N5,N29,N33
0.502222,N5,N24,M0P1
0.502222,N2,N19,M2Q3
0.502222,N23,N32,N35
0.502222,N21,N22,N27
0.502222,N15,N23,N29
0.502222,N14,N39,N40
0.502222,N10,N25,M0P1
0.502221,N5,N27,M1T1
0.502221,N4,N5,N9
0.502221,N30,N31,N40
0.502221,N2,N5,N25
0.502221,N24,N40,M2Q1
0.502221,N17,N32,M2Q4
0.502221,N13,N27,M0P2
0.502221,N10,N21,N38
0.502220,N5,N26,N38
0.502220,N2,N17,N38
0.502220,N28,N35,M2Q1
0.502220,N23,N24,N33
0.502220,N13,N28,N38
0.502220,N13,N16,N20
0.502219,N8,N32,N33
0.502219,N6,N16,M2Q4
0.502219,N3,N26,N28
0.502219,N25,N27,M2Q3
0.502219,N20,N21,N34
0.502219,N14,M1T1,M2Q4
0.502218,N8,N18,N40
0.502218,N7,N14,N24
0.502218,N6,N34,M0P2
0.502218,N6,N29,N34
0.502218,N5,N14,M0P1
0.502218,N4,N23,N33
0.502218,N15,N34,M0P1
0.502217,N9,N23,N34
0.502217,N22,N24,N38
0.502217,N19,N21,N38
0.502217,N13,N24,N40
0.502216,N9,N32,N34
0.502216,N9,N15,N26
0.502216,N5,N22,N28
0.502216,N3,N25,M1T1
0.502216,N28,N30,N35
0.502216,N24,N26,N28
0.502216,N21,N25,N31
0.502216,N17,N32,M1T3
0.502216,N14,N25,N34
0.502216,N12,N16,N17
0.502215,N8,N38,M1T2
0.502215,N8,N25,N39
0.502215,N3,N4,N13
0.502215,N19,N27,N39
0.502215,N15,N20,N24
0.502215,N14,N21,N33
0.502214,N5,N34,N36
0.502214,N3,N14,N26
0.502214,N2,N10,N16
0.502214,N21,N37,M0P1
0.502214,N15,N33,M0P2
0.502214,N15,N22,N29
0.502214,N11,N33,N37
0.502213,N5,N27,M1T2
0.502213,N5,N24,N29
0.502213,N5,N22,N23
0.502213,N5,N18,N23
0.502213,N4,N23,N29
0.502213,N2,N15,N32
0.502213,N20,M1T1,M1T2
0.502213,N19,N39,M1T1
0.502213,N15,N32,N40
0.502213,N13,N26,N36
0.502213,N12,N29,N32
0.502212,N8,N19,M2Q4
0.502212,N8,N13,N24
0.502212,N3,N14,N31
0.502212,N32,M1T1,M2Q4
0.502212,N25,N30,M2Q3
0.502212,N24,N27,N34
0.502212,N23,N25,M2Q4
0.502212,N17,N39,M1T1
0.502212,N17,N32,M0P2
0.502212,N17,N23,M2Q1
0.502212,N13,N30,N36
0.502212,N13,N21,N23
0.502212,N12,N22,N26
0.502212,N11,N14,M2Q4
0.502212,N11,M0P1,M1T1
0.502211,N6,N15,N30
0.502211,N3,N8,N16
0.502211,N24,N26,N29
0.502211,N19,N24,N30
0.502211,N15,N30,N39
0.502210,N9,N34,M0P2
0.502210,N2,N13,N29
0.502210,N14,N20,N23
0.502210,N13,N28,N35
0.502209,N9,N27,M1T2
0.502209,N9,N17,N21
0.502209,N5,N23,N37
0.502209,N2,N22,N39
0.502209,N16,N32,N38
0.502209,N15,N27,M0P2
0.502209,N13,N35,N40
0.502209,N11,N34,M0P2
0.502208,N8,N19,N28
0.502208,N6,N23,N37
0.502208,N3,N5,N26
0.502208,N32,N33,M0P2
0.502208,N19,N20,N40
0.502208,N16,N35,M0P2
0.502208,N15,N18,N25
0.502208,N14,N26,M2Q4
0.502208,N10,N15,N35
0.502207,N24,N35,M2Q3
0.502207,N19,N28,M2Q1
0.502207,N19,N21,N36
0.502207,N16,N23,N27
0.502207,N14,N39,M2Q4
0.502207,N12,N25,N28
0.502207,N12,N15,N40
0.502206,N9,N11,N27
0.502206,N8,N40,M0P1
0.502206,N8,N30,M0P1
0.502206,N3,N6,N40
0.502206,N34,M0P1,M1T1
0.502206,N25,N29,N39
0.502206,N23,N28,N36
0.502206,N21,N29,M0P2
0.502206,N12,N33,N35
0.502205,N9,N19,N23
0.502205,N19,M1T2,M2Q4
0.502205,N14,M2Q1,M2Q4
0.502204,N7,N17,N37
0.502204,N11,N13,M0P2
0.502204,N10,N11,N37
0.502203,N9,N25,M2Q4
0.502203,N6,N36,N37
0.502203,N3,N17,N23
0.502203,N32,N39,M2Q3
0.502203,N2,N21,N35
0.502203,N23,N27,M1T3
0.502203,N14,N38,M1T1
0.502203,N12,N13,N19
0.502203,N11,N29,M1T2
0.502203,N10,N25,M2Q2
0.502203,N10,N12,N24
0.502202,N5,N17,M2Q4
0.502202,N5,N11,N16
0.502202,N3,N12,N15
0.502202,N23,N32,M0P2
0.502202,N22,N24,N32
0.502202,N19,N36,N39
0.502202,N17,N25,M2Q2
0.502201,N9,N16,N19
0.502201,N6,N8,N25
0.502201,N5,N33,M0P1
0.502201,N4,N32,N33
0.502201,N4,N14,M1T2
0.502201,N4,N10,N20
0.502201,N3,N16,N33
0.502201,N24,N29,N33
0.502201,N15,N26,M0P2
0.502201,N12,N21,N22
0.502201,N11,N25,M2Q2
0.502200,N7,N14,N21
0.502200,N6,N20,M2Q3
0.502200,N37,M0P1,M1T3
0.502200,N15,N28,N33
0.502200,N12,N32,N37
0.502199,N6,N9,N10
0.502199,N6,N33,M2Q4
0.502199,N3,N12,N23
0.502199,N22,N26,N32
0.502199,N19,N23,M1T2
0.502199,N17,N19,M0P1
0.502199,N14,N26,N27
0.502199,N14,N16,M0P1
0.502198,N5,N24,N25
0.502198,N22,N25,N40
0.502198,N19,N26,M0P1
0.502198,N12,N29,N38
0.502197,N9,M1T2,M2Q3
0.502197,N8,N37,M2Q3
0.502197,N5,M2Q1,M2Q2
0.502197,N3,N13,N28
0.502197,N35,N39,M2Q1
0.502197,N15,N19,N28
0.502197,N12,N26,N33
0.502197,N12,N13,M0P1
0.502197,N11,N37,M0P1
0.502197,N10,N14,M2Q1
0.502196,N4,N8,N29
0.502196,N4,N24,N40
0.502196,N26,N28,M0P2
0.502196,N19,N38,M2Q4
0.502195,N6,N10,N29
0.502195,N3,N23,N27
0.502195,N3,N17,N34
0.502195,N14,N33,M0P2
0.502195,N14,N20,M1T2
0.502195,N14,M1T2,M2Q4
0.502195,N13,N26,N39
0.502195,N10,N23,N28
0.502194,N7,N8,N21
0.502194,N6,N15,N29
0.502194,N2,N6,N8
0.502194,N25,N27,M1T2
0.502194,N10,N19,N28
0.502193,N9,N25,M2Q1
0.502193,N9,N22,N26
0.502193,N5,N20,N23
0.502193,N36,N37,M0P1
0.502193,N25,N28,N31
0.502193,N16,N30,M0P1
0.502193,N14,N35,N39
0.502193,N14,N32,N40
0.502193,N13,N15,N39
0.502192,N9,N27,N32
0.502192,N6,N19,N23
0.502192,N4,N17,N37
0.502192,N2,N14,M2Q4
0.502192,N21,N40,M2Q4
0.502192,N20,N21,N26
0.502192,N16,N25,M0P1
0.502192,N16,N20,N30
0.502192,N15,N24,N27
0.502192,N12,N17,N30
0.502192,N12,N14,N15
0.502192,N10,N26,N35
0.502191,N9,N21,N22
0.502191,N6,N39,M2Q4
0.502191,N6,N19,N28
0.502191,N5,N19,N26
0.502191,N5,N18,N40
0.502191,N2,N3,N5
0.502191,N25,N36,M2Q2
0.502191,N16,N38,M0P2
0.502191,N16,N22,N40
0.502191,N15,N28,M2Q1
0.502191,N14,N39,M2Q3
0.502191,N12,N35,M2Q2
0.502191,N12,N16,N28
0.502191,N11,N25,N30
0.502190,N9,N26,M0P2
0.502190,N9,N13,N27
0.502190,N36,M0P1,M2Q4
0.502190,N22,N29,N33
0.502190,N10,N20,N34
0.502189,N8,N26,N36
0.502189,N7,N25,N30
0.502189,N6,N38,N40
0.502189,N6,N15,N25
0.502189,N2,N32,M2Q1
0.502189,N22,N23,N32
0.502189,N13,N14,N30
0.502189,N11,N34,M1T1
0.502188,N5,N19,N31
0.502188,N4,N33,N38
0.502188,N4,N17,M2Q4
0.502188,N13,N38,N40
0.502188,N11,N16,M1T1
0.502187,N9,N30,N32
0.502187,N6,N14,M2Q4
0.502187,N39,N40,M1T1
0.502187,N19,N22,N24
0.502187,N14,N27,M0P2
0.502186,N9,N26,N27
0.502186,N8,M0P2,M2Q1
0.502186,N6,N27,N32
0.502186,N14,N19,M2Q2
0.502186,N10,N14,N15
0.502185,N7,N14,M1T2
0.502185,N5,N27,N40
0.502185,N5,N23,N27
0.502185,N3,N4,N14
0.502185,N32,N38,M1T1
0.502185,N24,N29,N35
0.502185,N20,N28,M0P2
0.502185,N16,N28,N40
0.502185,N12,N30,N36
0.502185,N10,N15,N26
0.502184,N9,N30,N36
0.502184,N5,N29,M0P2
0.502184,N3,N14,N22
0.502184,N24,N26,M1T1
0.502184,N23,N40,M0P2
0.502184,M0P1,M1T2,M2Q4
0.502183,N8,N37,M2Q4
0.502183,N8,N13,N36
0.502183,N8,N11,N15
0.502183,N4,N37,N40
0.502183,N4,N10,N30
0.502183,N23,N25,N30
0.502183,N19,N30,M1T1
0.502183,N17,N27,N29
0.502183,N15,N16,N20
0.502183,N12,N15,N16
0.502182,N2,N4,N30
0.502182,N27,N38,M2Q3
0.502182,N19,N35,N36
0.502182,N14,N16,N33
0.502182,N11,N15,N30
0.502181,N5,N39,M0P2
0.502181,N4,N20,N26
0.502181,N3,N5,M2Q3
0.502181,N28,M1T1,M2Q4
0.502181,N27,N34,N40
0.502181,N21,N35,N39
0.502181,M2Q1,M2Q2,M2Q4
0.502180,N8,N9,M2Q1
0.502180,N8,N27,M2Q4
0.502180,N3,N22,N25
0.502180,N3,N16,N34
0.502180,N30,N34,M2Q4
0.502180,N2,N3,N16
0.502180,N28,N35,N40
0.502180,N27,N37,M0P1
0.502180,N21,N26,N37
0.502180,N19,N25,N35
0.502180,N17,N27,N38
0.502180,N14,N20,N32
0.502180,N12,N35,M0P2
0.502180,N10,N26,M2Q4
0.502180,M1T2,M2Q1,M2Q3
0.502179,N6,N26,N37
0.502179,N5,N19,N20
0.502179,N4,N27,N29
0.502179,N3,N10,N14
0.502179,N28,N30,N33
0.502179,N15,N23,N24
0.502179,N14,N26,N29
0.502178,N35,M0P1,M2Q1
0.502178,N34,M0P1,M2Q1
0.502178,N2,N33,N39
0.502178,N14,N28,M2Q4
0.502178,N12,N24,N35
0.502178,N11,N23,N38
0.502178,N11,N13,N38
0.502177,N8,N29,N36
0.502177,N4,N20,N38
0.502177,N20,N21,N36
0.502177,N14,N24,N32
0.502177,N12,N22,N40
0.502176,N6,N9,N24
0.502176,N5,N8,M0P2
0.502176,N26,N33,M1T2
0.502176,N26,N32,M1T1
0.502176,N15,N23,N40
0.502176,N12,N26,M2Q4
0.502175,N7,N21,N38
0.502175,N5,N11,N28
0.502175,N4,N21,N39
0.502175,N28,N33,N39
0.502175,N19,N40,M1T1
0.502175,N19,M0P1,M1T3
0.502175,N14,N16,N30
0.502175,N12,N24,N33
0.502175,N10,N17,N27
0.502175,N10,N11,N32
0.502174,N8,N9,N16
0.502174,N8,N38,M2Q4
0.502174,N5,N27,M2Q4
0.502174,N33,M1T1,M1T2
0.502174,N27,N30,N34
0.502174,N26,N29,N30
0.502174,N24,N32,N38
0.502174,N16,N17,N19
0.502174,N11,N29,M2Q2
0.502173,N6,N21,M2Q1
0.502173,N5,N26,N28
0.502173,N38,M1T1,M1T2
0.502173,N25,M0P1,M2Q4
0.502173,N15,N20,M1T1
0.502173,N15,N19,N30
0.502173,N14,N34,M1T1
0.502173,N14,N22,M2Q2
0.502173,N12,N14,N21
0.502172,N3,N19,N32
0.502172,N28,N40,M2Q2
0.502172,N17,N27,N37
0.502172,N10,N25,M1T2
0.502171,N8,N23,N37
0.502171,N8,N17,M0P2
0.502171,N5,N22,N37
0.502171,N4,N26,N29
0.502170,N8,N12,N16
0.502170,N8,N11,N13
0.502170,N8,N10,N11
0.502170,N6,N13,N15
0.502170,N2,N9,N25
0.502170,N2,N30,M0P1
0.502170,N11,N13,M0P1
0.502169,N5,N21,N39
0.502169,N5,N19,N24
0.502169,N4,N6,N30
0.502169,N2,N17,N32
0.502169,N2,N13,M0P1
0.502169,N26,N28,N37
0.502169,N12,N23,N29
0.502169,N11,N33,M0P1
0.502168,N8,N15,N29
0.502168,N24,N28,N30
0.502168,N17,N21,N34
0.502168,N13,N38,M2Q4
0.502168,N13,N35,N38
0.502168,N12,N16,N40
0.502168,N12,N16,N26
0.502168,N12,N15,N27
0.502167,N8,M0P1,M2Q4
0.502167,N4,N37,N38
0.502167,N2,M0P2,M1T1
0.502167,N29,N33,N39
0.502167,N21,N35,M2Q3
0.502167,N21,N34,N40
0.502167,N21,N23,N40
0.502166,N8,N23,M1T3
0.502166,N5,N10,N26
0.502166,N4,N23,N32
0.502166,N4,N14,N34
0.502166,N3,N15,N27
0.502166,N21,N26,M1T1
0.502166,N19,N24,N32
0.502166,N15,N20,N21
0.502166,N14,N19,N29
0.502166,N10,N16,M0P1
0.502166,N10,N11,N25
0.502165,N9,N15,N24
0.502165,N7,N14,N40
0.502165,N14,N34,N35
0.502165,N12,N19,M1T2
0.502164,N5,N19,N29
0.502164,N2,N8,N29
0.502164,N19,N34,M0P1
0.502164,N16,N17,N29
0.502164,N12,N15,N30
0.502164,N10,N31,M0P2
0.502163,N5,N6,N36
0.502163,N4,N17,N19
0.502163,N21,N23,N35
0.502163,N13,N27,N33
0.502162,N9,N14,N32
0.502162,N6,N12,N19
0.502162,N30,N35,M2Q3
0.502162,N22,N25,N28
0.502162,N21,N23,N34
0.502162,N21,M1T2,M2Q1
0.502162,N15,N23,M2Q4
0.502162,N13,M1T1,M2Q4
0.502161,N5,N6,N35
0.502161,N4,N8,N32
0.502161,N4,N32,M2Q2
0.502161,N26,N32,M1T2
0.502161,N23,M0P2,M1T1
0.502161,N21,N32,N33
0.502161,N20,N25,N32
0.502161,N16,N32,N33
0.502161,N14,N40,M2Q3
0.502161,N11,N13,N23
0.502160,N9,N25,M0P1
0.502160,N9,N14,N33
0.502160,N9,N14,N16
0.502160,N8,N9,N24
0.502160,N8,N26,N35
0.502160,N6,N24,N32
0.502160,N5,N39,M2Q4
0.502160,N3,N15,N17
0.502160,N26,N33,N39
0.502159,N6,N34,M1T2
0.502159,N5,N19,N22
0.502159,N4,N38,M1T1
0.502159,N4,N37,M0P1
0.502159,N4,N25,N27
0.502159,N2,N25,M2Q3
0.502159,N23,N26,N32
0.502159,N15,N17,M2Q1
0.502158,N6,N26,M1T2
0.502158,N5,N22,N40
0.502158,N17,N28,M2Q1
0.502158,N14,N17,M2Q3
0.502157,N4,N11,N30
0.502157,N33,M0P2,M1T1
0.502157,N2,N8,N39
0.502157,N2,N4,N37
0.502157,N23,N38,N39
0.502157,N10,N37,M0P1
0.502156,N9,N29,N30
0.502156,N6,N28,M2Q2
0.502156,N4,N9,N24
0.502156,N4,N19,N40
0.502156,N4,N17,N33
0.502156,N3,N28,N38
0.502156,N3,N12,N19
0.502156,N2,N4,N19
0.502156,N15,N35,M0P2
0.502156,N14,N21,M2Q4
0.502156,N10,N15,N33
0.502155,N9,N16,N28
0.502155,N8,N22,N37
0.502155,N4,N23,N26
0.502155,N2,N20,N30
0.502155,N15,N19,N35
0.502155,N13,N25,M2Q3
0.502154,N9,N22,N32
0.502154,N7,N17,N21
0.502154,N5,N20,N40
0.502154,N5,N20,N38
0.502154,N5,N19,N32
0.502154,N5,N13,N37
0.502154,N4,N23,N28
0.502154,N3,N14,N15
0.502154,N3,N10,N30
0.502154,N21,M0P1,M2Q3
0.502154,N16,N25,M0P2
0.502154,N14,N33,N35
0.502154,N11,N30,N34
0.502153,N8,N10,M2Q2
0.502153,N6,N29,N33
0.502153,N5,N14,M2Q1
0.502153,N34,N40,M0P2
0.502153,N2,N8,N15
0.502153,N23,N25,N39
0.502153,N21,N40,M0P2
0.502153,N15,N27,N39
0.502153,N12,N25,M2Q3
0.502152,N6,N21,M2Q4
0.502152,N4,N11,M1T2
0.502152,N4,N10,N21
0.502152,N2,N14,M1T1
0.502152,N23,N28,M1T3
0.502152,N22,N28,M0P2
0.502152,N15,N28,N35
0.502152,N15,N16,N39
0.502152,N14,N37,M0P2
0.502152,N13,N23,N33
0.502151,N8,N12,M0P1
0.502151,N6,N12,N16
0.502151,N3,N7,N25
0.502151,N21,N23,M0P2
0.502151,N17,N28,N37
0.502151,N13,N32,M2Q1
0.502151,N12,N19,N31
0.502151,N11,N17,N21
0.502150,N6,N9,N14
0.502150,N6,N21,M2Q3
0.502150,N5,N15,N18
0.502150,N4,N16,N38
0.502150,N3,N14,N16
0.502150,N32,N33,N38
0.502150,N24,N25,N37
0.502150,N13,N23,M0P2
0.502150,N10,N19,N25
0.502149,N9,N14,N23
0.502149,N5,N16,N27
0.502149,N30,N31,N33
0.502149,N23,M2Q2,M2Q4
0.502149,N17,N20,N40
0.502149,N11,N23,M0P2
0.502148,N32,M2Q1,M2Q3
0.502148,N26,M0P2,M1T1
0.502148,N23,M0P1,M2Q2
0.502148,N14,N19,N31
0.502147,N8,N12,M1T3
0.502147,N6,N8,N15
0.502147,N24,N33,N35
0.502147,N23,N27,M1T1
0.502147,N21,N25,M0P2
0.502147,N12,N16,N38
0.502146,N6,N30,N35
0.502146,N5,N10,M1T1
0.502146,N4,N26,M1T2
0.502146,N3,N25,N36
0.502146,N23,N32,N40
0.502146,N19,N23,M1T1
0.502146,N17,N33,N37
0.502146,N13,N15,N38
0.502146,N13,M0P1,M2Q4
0.502146,N12,N21,N38
0.502146,N12,N16,N36
0.502145,N7,N8,N16
0.502145,N7,N16,N24
0.502145,N6,N16,M0P1
0.502145,N19,N28,N31
0.502144,N5,N26,N40
0.502144,N5,N10,N40
0.502144,N37,M1T1,M2Q4
0.502144,N2,N23,N34
0.502144,N2,N14,N39
0.502144,N11,N14,N40
0.502143,N9,N20,N33
0.502143,N5,N21,N26
0.502143,N2,N26,N34
0.502143,N25,N36,N39
0.502143,N25,N27,M1T1
0.502143,N23,N38,M1T2
0.502143,N23,N26,N29
0.502143,N14,N32,M2Q1
0.502143,N14,N25,M2Q4
0.502143,N12,N23,N26
0.502143,N11,N16,N19
0.502142,N8,N27,N36
0.502142,N6,N19,N35
0.502142,N37,N39,M1T1
0.502142,N24,N37,N40
0.502142,N23,N33,N39
0.502142,N15,N27,N34
0.502142,N10,N25,N29
0.502141,N6,N21,M1T1
0.502141,N3,N21,N38
0.502141,N3,N16,M2Q4
0.502141,N2,N9,N13
0.502141,N23,N25,N36
0.502141,N15,N24,N30
0.502140,N8,N14,M2Q4
0.502140,N6,N8,M1T2
0.502140,N6,N26,N30
0.502140,N6,N25,N33
0.502140,N5,N9,M0P1
0.502140,N5,N8,N17
0.502140,N5,N10,N27
0.502140,N12,N16,N33
0.502139,N9,N21,N39
0.502139,N6,N28,N36
0.502139,N6,N10,N38
0.502139,N5,N10,N31
0.502139,N4,N14,N20
0.502139,N2,N25,N33
0.502139,N19,N26,M2Q3
0.502138,N27,N28,N30
0.502138,N11,N14,N21
0.502137,N6,N14,N30
0.502137,N6,N10,N23
0.502137,N12,N23,N36
0.502137,N11,N38,M2Q4
0.502137,N11,N14,N26
0.502136,N9,N10,N16
0.502136,N8,N9,N35
0.502136,N5,N32,M2Q1
0.502136,N4,N6,N14
0.502136,N3,N21,M0P2
0.502136,N21,N23,N32
0.502135,N5,N16,N33
0.502135,N38,M1T2,M2Q4
0.502135,N20,N24,N40
0.502135,N17,N23,N30
0.502135,N15,N21,N26
0.502134,N9,N27,N29
0.502134,N8,N22,N29
0.502134,N5,N13,N34
0.502134,N4,N19,N26
0.502134,N3,N27,N40
0.502134,N3,N25,M2Q2
0.502134,N37,N38,M1T2
0.502134,N2,N8,N34
0.502134,N25,N29,M1T2
0.502134,N19,N29,N38
0.502134,N14,N17,M1T2
0.502134,N14,N16,N39
0.502133,N8,N23,N36
0.502133,N6,N14,N24
0.502133,N3,N4,N27
0.502133,N3,N26,N36
0.502133,N2,N8,N35
0.502133,N16,N20,N25
0.502132,N6,N21,N22
0.502132,N3,N35,M2Q3
0.502132,N2,N6,N17
0.502132,N2,N19,N35
0.502132,N2,N13,M1T1
0.502132,N16,N19,M2Q4
0.502132,N14,N23,N38
0.502132,N13,N40,M1T1
0.502131,N5,N13,N35
0.502131,N3,N14,N33
0.502130,N6,N39,N40
0.502130,N3,N15,N33
0.502130,N2,N8,N38
0.502130,N28,N38,N39
0.502130,N16,N23,N26
0.502129,N23,N29,M1T2
0.502129,N23,N24,M2Q4
0.502129,N23,M0P1,M2Q4
0.502129,N16,N37,M0P1
0.502129,N14,N25,N29
0.502129,N10,N16,N20
0.502128,N9,N32,M2Q4
0.502128,N2,N27,N32
0.502128,N15,N19,N27
0.502128,N14,N35,M0P1
0.502128,N14,N23,M2Q1
0.502128,N13,N29,N39
0.502128,N11,N27,N40
0.502127,N9,N14,N24
0.502127,N6,N10,N35
0.502127,N3,N16,N38
0.502127,N2,N8,N23
0.502127,N17,N36,N37
0.502127,N16,N24,N32
0.502127,N15,N37,N39
0.502126,N8,N37,M2Q1
0.502126,N8,N16,N17
0.502126,N7,N16,N40
0.502126,N3,N24,N28
0.502126,N3,N22,N32
0.502126,N28,N29,N32
0.502126,N26,N33,N37
0.502126,N25,N32,N38
0.502126,N15,N24,N38
0.502126,N15,N16,N17
0.502126,N14,N32,N34
0.502126,N13,N27,N30
0.502126,N11,N13,N16
0.502125,N26,N36,N37
0.502125,N23,N29,M1T1
0.502125,N16,N19,N29
0.502125,N13,N27,N39
0.502125,N10,N19,M2Q1
0.502124,N8,N32,M2Q4
0.502124,N7,N25,N37
0.502124,N5,N32,N40
0.502124,N32,N34,M1T1
0.502124,N2,N15,N38
0.502124,N10,N25,N36
0.502124,N10,N12,N32
0.502123,N6,N24,N33
0.502123,N5,N15,M1T1
0.502123,N4,N6,N27
0.502123,N4,N27,N32
0.502123,N27,N40,M1T1
0.502123,N21,N32,M2Q4
0.502123,N19,N20,N25
0.502123,N14,N25,N39
0.502122,N4,N25,M2Q1
0.502122,N32,N33,N39
0.502122,N2,N9,N17
0.502122,N25,N27,N34
0.502122,N14,N16,N36
0.502122,N13,N21,N29
0.502121,N9,N30,M0P1
0.502121,N4,N8,N38
0.502121,N4,N29,M1T2
0.502121,N2,N14,M2Q3
0.502121,N2,N13,N38
0.502121,N10,N32,M0P1
0.502121,N10,N15,N24
0.502120,N9,N25,M2Q3
0.502120,N5,N38,M0P2
0.502120,N5,N18,M2Q4
0.502120,N23,N38,M1T1
0.502119,N9,N32,N33
0.502119,N5,N17,M0P2
0.502119,N5,M0P1,M1T1
0.502119,N4,N14,N19
0.502119,N23,N25,N35
0.502119,N20,N21,N37
0.502119,N17,N30,N36
0.502119,N17,N19,M0P2
0.502118,N8,N21,M1T3
0.502118,N5,N25,M0P1
0.502118,N3,N16,N36
0.502118,N24,N32,M2Q1
0.502118,N15,N20,N28
0.502117,N2,N4,N26
0.502116,N6,N10,N16
0.502116,N5,N15,N32
0.502116,N19,N32,M1T1
0.502115,N7,N17,N39
0.502115,N6,N27,M0P1
0.502115,N30,N35,N37
0.502115,N2,N3,N25
0.502115,N15,N32,M0P1
0.502115,N12,N26,N34
0.502114,N5,N22,M0P2
0.502114,N5,N13,N29
0.502114,N4,N39,M2Q1
0.502114,N23,N25,N34
0.502114,N17,N22,N39
0.502114,N13,N16,N30
0.502113,N8,N10,N34
0.502113,N3,N29,N38
0.502113,N32,N34,N35
0.502113,N25,N31,N32
0.502113,N25,M1T1,M1T2
0.502113,N21,M0P2,M2Q1
0.502113,N16,N22,N25
0.502112,N2,N28,N33
0.502112,N23,N24,M1T2
0.502112,N19,N30,N36
0.502111,N8,N19,N30
0.502111,N5,N33,M0P2
0.502111,N4,N6,M1T2
0.502111,N4,N20,M1T2
0.502111,N2,N21,N23
0.502111,N19,N27,M1T3
0.502110,N6,N24,N35
0.502110,N6,N17,N23
0.502110,N4,N11,N23
0.502110,N3,N29,N33
0.502110,N20,N23,M1T1
0.502110,N15,N26,N37
0.502109,N9,N37,M0P1
0.502109,N8,N19,N36
0.502109,N5,N8,M2Q2
0.502109,N5,N35,M0P1
0.502109,N2,N6,M0P1
0.502109,N21,N22,N26
0.502109,N12,N13,N38
0.502109,N10,N27,N28
0.502108,N8,N9,N22
0.502108,N8,N40,M2Q2
0.502108,N4,N21,N40
0.502108,N25,N26,M1T2
0.502108,N15,N20,N23
0.502108,N12,N32,M0P1
0.502108,N10,N15,N20
0.502107,N6,N9,N35
0.502107,N5,N38,M2Q1
0.502107,N3,N19,N35
0.502107,N2,N8,N20
0.502107,N28,N39,M0P2
0.502107,N23,N33,N40
0.502107,N21,N22,M2Q1
0.502107,N12,N17,N28
0.502106,N8,N27,N37
0.502106,N8,N11,N38
0.502106,N23,N29,N33
0.502106,N15,N28,N32
0.502106,N15,N17,N18
0.502106,N10,N28,M1T2
0.502105,N6,N25,N36
0.502105,N14,M2Q1,M2Q2
0.502105,N12,N27,N33
0.502104,N9,N35,N39
0.502104,N5,N16,N22
0.502104,N3,N6,N16
0.502104,N2,N21,M0P1
0.502104,N10,N14,N40
0.502103,N4,N6,N24
0.502103,N4,N5,N13
0.502103,N4,N23,N38
0.502103,N2,N18,N21
0.502103,N17,N27,N35
0.502103,N14,N19,M2Q1
0.502103,M1T1,M2Q2,M2Q4
0.502102,N8,N21,M1T1
0.502102,N17,N18,N40
0.502102,N13,N15,N24
0.502102,N11,N34,M2Q4
0.502101,N8,N14,N17
0.502101,N3,N12,N35
0.502101,N2,N3,N33
0.502101,N27,N32,N34
0.502101,N21,N24,N34
0.502101,N16,N19,N27
0.502100,N8,N28,N40
0.502100,N5,N32,M0P2
0.502100,N23,N28,M1T1
0.502100,N17,N35,N36
0.502100,N12,N21,M1T2
0.502100,N11,N40,M1T1
0.502099,N8,N23,M2Q2
0.502099,N6,N33,N39
0.502099,N2,N6,N27
0.502099,N23,N35,M2Q3
0.502099,N14,N20,M1T1
0.502099,N11,N27,N34
0.502099,N11,N19,N23
0.502099,N11,N15,N33
0.502099,N10,N38,N39
0.502099,N10,N19,N23
0.502099,M0P2,M1T1,M2Q4
0.502098,N8,N27,M1T1
0.502098,N6,N38,M1T2
0.502098,N4,N5,N38
0.502098,N4,N13,N28
0.502098,N3,N21,N40
0.502098,N33,M0P1,M2Q4
0.502098,N2,N4,N38
0.502098,N15,N23,N28
0.502098,N12,N29,N30
0.502098,N12,N23,M0P2
0.502097,N5,N21,M1T1
0.502097,N37,M0P1,M1T2
0.502097,N23,N28,M0P2
0.502096,N8,N14,N36
0.502096,N4,N6,N8
0.502096,N14,N29,M1T2
0.502095,N9,N28,N37
0.502095,N35,N39,M2Q3
0.502095,N33,N34,M1T2
0.502095,N26,N30,N36
0.502095,N24,N37,M2Q4
0.502095,N15,N22,N27
0.502095,N13,N18,M0P2
0.502095,N12,N21,M2Q2
0.502095,N11,N32,N37
0.502094,N6,N33,M0P1
0.502094,N4,N10,N24
0.502094,N3,N5,N11
0.502094,N3,N13,N14
0.502094,N21,N30,N34
0.502094,N17,N35,M0P2
0.502094,N11,M1T1,M2Q2
0.502094,N10,N12,N23
0.502093,N8,N32,N37
0.502093,N4,N37,N39
0.502093,N4,N13,N20
0.502093,N3,N6,M2Q3
